#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;S400;S1400;S2000;DIST;DIST_DM;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[mJy];[mJy];[mJy];[kpc];[kpc];;;TYPE
56;J0055+5117;10.47;-17.4;0.35;56000;123.621;-11.576;13.93915875;51.29016694;2.115171;9.54E-15;44.01;73;92.1;3.4;1.5;NAN;2.857;1.935;NAN;gb2,lotaas;NAN
57;J0056+4756;NAN;NAN;NAN;49872;123.796;-14.927;14.10630345;47.93626269;0.472037;3.33E-15;18.14;11.8;31.3;3;NAN;NAN;1.123;1.123;NAN;gb2,lotaas;NAN
58;J0057-7201;NAN;NAN;NAN;51213;302.244;-45.098;14.43333333;-72.02194444;0.738062;1E-16;27;NAN;NAN;NAN;NAN;NAN;3.476;3.476;NAN;misc;NAN
59;J0058+4950;NAN;NAN;NAN;56500;124.045;-13.017;14.54162336;49.84055678;0.996023;8.04E-16;66.95;38;50;NAN;NAN;NAN;2.646;2.646;NAN;gbncc;NAN
60;J0058+6125;NAN;NAN;NAN;54100;123.717;-1.445;14.5;61.41666667;0.637;NAN;128.3;7.8;17;NAN;NAN;NAN;2.597;2.597;NAN;gb350,gbncc;NAN
61;J0059+69;NAN;NAN;NAN;NAN;123.629;7.056;14.875;69.91666667;1.1459;NAN;63.53;12;60;NAN;NAN;NAN;2.048;2.048;NAN;lotaas,gbncc;NAN
62;J0100-7211;NAN;NAN;NAN;53032;301.93;-44.918;15.17929167;-72.19266667;8.020392;1.88E-11;NAN;NAN;NAN;NAN;NAN;NAN;59.7;NAN;EXGAL:SMC,XRS:CXOU_J010043.1-721134;misc;AXP,NRAD
63;J0100+8023;NAN;NAN;NAN;56676;123.318;17.53;15.06704167;80.39493056;1.493601;3.54E-16;56.01;8.01;67;NAN;NAN;NAN;2.848;2.848;NAN;lotaas;NAN
64;J0101-6422;10;-12;NAN;55520;301.192;-52.72;15.29631792;-64.3750475;0.002573;5.16E-21;11.93;NAN;NAN;NAN;0.28;NAN;1.002;1.002;GRS:4FGL_J0101.1-6422[fermi21],XRS:[pb15;FermiAssoc;HE
65;J0102+4839;NAN;NAN;NAN;55196;124.874;-14.167;15.71111667;48.66187778;0.00296;NAN;53.5;NAN;NAN;0.5;NAN;NAN;2.31;2.31;GRS:4FGL_J0102.8+4839[fermi21];FermiAssoc;HE
66;J0102+6537;9.24;1.77;0.4;56000;124.08;2.773;15.63746417;65.62039333;1.679164;5.95E-15;65.85;89.7;110.4;8.5;1.2;NAN;2.5;1.978;NAN;gb1,gb3,gbncc,lotaas;NAN
67;J0103+54;NAN;NAN;NAN;56657;124.741;-8.796;15.90416667;54.03333333;0.354304;NAN;55.6;6.4;13;NAN;NAN;NAN;2.01;2.01;NAN;gbncc;RRAT[kkl+15]
68;J0104+64;NAN;NAN;NAN;NAN;124.308;1.162;16;64;1.386;NAN;44.6;45;82;NAN;NAN;NAN;1.711;1.711;NAN;gbncc;NAN
69;J0106+4855;NAN;NAN;NAN;55225;125.465;-13.867;16.60441667;48.93105556;0.083157;4.28E-16;70.87;NAN;NAN;NAN;0.01;NAN;3.063;3.063;GRS:4FGL_J0106.4+4855[fermi21];FermiBlind;HE
70;J0107+1322;NAN;NAN;NAN;57972;128.991;-49.305;16.91645833;13.37547222;1.197383;6.87E-16;21.67;28;35.7;NAN;NAN;NAN;2.349;2.349;NAN;lotaas;NAN
71;J0108-1431;75.1;-152.5;4.2;54100;140.93;-76.815;17.03477923;-14.53060753;0.807565;7.7E-17;2.38;26;75;9;1.4;NAN;0.21;0.232;NAN;pks70;NAN
