#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;S400;S1400;S2000;DIST;DIST_DM;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[mJy];[mJy];[mJy];[kpc];[kpc];;;TYPE
2651;J1911-1114;-13.75;-9.1;NAN;55000;25.137;-9.579;287.95534304;-11.23957806;0.003626;1.39E-20;30.97;0.18;0.45;15;0.5;NAN;1.069;1.069;XRS:[pb15];pks70,gbncc;NAN
2652;J1911+1252g;NAN;NAN;NAN;NAN;46.645;1.479;287.86666667;12.86666667;0.02724;NAN;68.8;NAN;NAN;NAN;0.03;NAN;2.167;2.167;NAN;fast_gpps;NAN
2653;J1911+1347;-2.944;-3.709;0.18;57206;47.518;1.809;287.98001448;13.79287662;0.004626;1.69E-20;30.99;0.15;0.44;3;0.9;NAN;1.365;1.365;NAN;pksmb;NAN
2654;J1911+1758;NAN;NAN;NAN;49079.5;51.238;3.738;287.98079167;17.97938611;0.460406;1.31E-17;48.98;9;20;1.9;NAN;NAN;1.955;1.955;NAN;ar3;NAN
2655;J1912+0934g;NAN;NAN;NAN;NAN;43.858;-0.313;288.17083333;9.56666667;0.89747;NAN;143.8;NAN;NAN;NAN;0.03;NAN;4.025;4.025;NAN;fast_gpps;NAN
2656;J1912+1036;NAN;NAN;NAN;51600;44.794;0.152;288.19304167;10.61155556;0.409349;1.58E-14;147;15;31;1.6;0.22;NAN;4.154;4.154;NAN;ar1,pksmb,palfa;NAN
2657;J1912+1105g;NAN;NAN;NAN;NAN;45.173;0.444;288.10833333;11.08333333;0.67071;NAN;150.4;NAN;NAN;NAN;0.02;NAN;4.348;4.348;NAN;fast_gpps;NAN
2658;J1912+1417g;NAN;NAN;NAN;NAN;48.022;1.904;288.13333333;14.28333333;0.00317;NAN;66.6;NAN;NAN;NAN;0.04;NAN;2.164;2.164;NAN;fast_gpps;NAN
2659;J1912+2104;-11.37;-5.8;0.09;56000;54.086;4.989;288.18057958;21.07609056;2.232969;1.02E-14;88.6;9.9;42;6;0.8;NAN;3.369;3.369;NAN;jb1,ar3;NAN
2660;J1912+2525;NAN;NAN;NAN;49079.5;57.933;7.042;288.07760833;25.41725556;0.621976;2.25E-16;37.85;9;16;1.6;NAN;NAN;2.15;2.15;NAN;ar3,lotaas,gbncc;NAN
2661;J1913-0440;7;-5;NAN;46634;31.307;-7.124;288.47572292;-4.67991111;0.825936;4.07E-15;89.39;8.1;14.9;118;6.8;NAN;4.041;4.041;NAN;mol1,jb1,mol2,gb2,pks70,pkssw,lotaa;NAN
2662;J1913+0446;NAN;NAN;NAN;51832.34;39.736;-2.79;288.46175;4.76833333;1.61613;2.79E-13;109.1;16;60;NAN;0.48;NAN;4.338;4.338;NAN;pksmb;NAN
2663;J1913+05;NAN;NAN;NAN;59185.29;40.242;-2.392;288.34166667;5.4;0.661999;NAN;335.9;NAN;NAN;NAN;NAN;NAN;16.333;16.333;NAN;palfa,fast_gpps;NAN
2664;J1913+0618;-9;NAN;NAN;57696;41.034;-1.96;288.32449417;6.30229917;0.005027;9.61E-21;155.99;0.47;NAN;NAN;0.06;NAN;5.863;5.863;NAN;palfa;NAN
2665;J1913+0657;NAN;NAN;NAN;56700;41.644;-1.712;288.38716667;6.95675;1.257181;2.83E-15;142;19.4;NAN;NAN;0.05;NAN;5.069;5.069;NAN;palfa;NAN
2666;J1913+0832;NAN;NAN;NAN;51685;42.98;-0.862;288.25208333;8.53475;0.134409;4.57E-15;355.2;77.1;NAN;NAN;0.9;NAN;8.204;8.204;NAN;pksmb,palfa;NAN
2667;J1913+0904;NAN;NAN;NAN;53249;43.502;-0.684;288.33775417;9.07927778;0.163246;1.76E-14;95.3;3;6;NAN;0.4;NAN;2.997;2.997;GRS:4FGL_J1913.3+0905[fermi21];pksmb,palfa;HE
2668;J1913+0936;NAN;NAN;NAN;51600;44.034;-0.553;288.46958333;9.61161111;1.241965;4.32E-16;157;18;51;0.8;0.14;NAN;4.337;4.337;NAN;ar1,pksmb,palfa;NAN
2669;J1913+1000;NAN;NAN;NAN;52187;44.285;-0.194;288.26495833;10.00066667;0.837148;1.67E-14;422;32;52;NAN;0.53;NAN;7.671;7.671;NAN;pksmb,palfa;NAN
2670;J1913+1011;NAN;NAN;NAN;51697;44.485;-0.167;288.33475417;10.18971389;0.035909;3.37E-15;178.8;1.62;5;NAN;0.9;NAN;4.613;4.613;GRS:4FGL_J1913.3+1019[fermi21];pksmb,palfa;HE[sbc+19]
2671;J1913+1037g;NAN;NAN;NAN;NAN;44.925;-0.087;288.47083333;10.61666667;0.43421;NAN;437;NAN;NAN;NAN;0.01;NAN;7.889;7.889;NAN;fast_gpps;NAN
2672;J1913+1050;NAN;NAN;NAN;56700;45.09;0.081;288.39735;10.84072222;0.190067;1.95E-16;231.1;4.5;NAN;NAN;0.06;NAN;5.446;5.446;NAN;palfa;NAN
2673;J1913+1054g;NAN;NAN;NAN;NAN;45.089;0.211;288.27916667;10.9;0.45062;NAN;338;NAN;NAN;NAN;0.02;NAN;7.112;7.112;NAN;fast_gpps;NAN
2674;J1913+1102;NAN;NAN;NAN;56357;45.25;0.194;288.37105917;11.03492806;0.027285;1.61E-19;338.96;NAN;NAN;NAN;0.02;NAN;7.14;7.14;NAN;palfa;NAN
2675;J1913+1103;NAN;NAN;NAN;56657;45.208;0.306;288.25;11.05;0.92391;NAN;628.9;NAN;NAN;NAN;0.09;NAN;12.142;12.142;NAN;palfa;NAN
2676;J1913+1145;NAN;NAN;NAN;51290;45.92;0.476;288.43283333;11.75919444;0.306069;5.02E-15;642;14.4;NAN;NAN;0.43;NAN;13.817;13.817;NAN;pksmb,palfa;NAN
2677;J1913+1330;NAN;NAN;NAN;55090.9;47.421;1.381;288.324875;13.50910556;0.923391;8.68E-15;175.64;2;NAN;NAN;NAN;NAN;6.179;6.179;NAN;pksmb,palfa;RRAT
2678;J1913+1400;-5.28;-8.94;0.19;56000;47.881;1.592;288.35146958;14.01459972;0.521473;8.04E-16;145.05;6.2;22;5.2;1.2;NAN;5.263;5.246;NAN;ar1,ar2,ar3,pksmb,palfa;NAN
2679;J1913+3732;NAN;NAN;NAN;56100;69.097;12.128;288.36619583;37.53675;0.851079;1.38E-15;72.33;13;30;NAN;0.38;NAN;7.584;7.584;NAN;htru_eff,gbncc;NAN
2680;J1914+0219;NAN;NAN;NAN;53040;37.633;-4.037;288.59914167;2.32994444;0.457527;1.02E-15;236;16;24;NAN;1.6;NAN;14.386;14.386;NAN;pksmb,gbncc;NAN
2681;J1914+0631;NAN;NAN;NAN;52582;41.352;-2.071;288.57183333;6.53230556;0.693811;3.32E-17;58;12.6;26.67;NAN;0.26;NAN;1.776;1.776;NAN;pksmb,palfa;NAN
2682;J1914+0659;NAN;NAN;NAN;56351;41.785;-1.846;288.57352917;7.01972222;0.018512;3.1E-20;225.3;NAN;NAN;NAN;0.33;NAN;8.467;8.467;NAN;palfa;NAN
2683;J1914+08;NAN;NAN;NAN;59090.59;43.244;-1.117;288.60416667;8.65;0.44004;NAN;290.6;NAN;NAN;NAN;NAN;NAN;8.056;8.056;NAN;pks_superb,fast_gpps;NAN
2684;J1914+0805g;NAN;NAN;NAN;NAN;42.704;-1.307;288.52083333;8.08333333;0.45555;NAN;339.2;NAN;NAN;NAN;0.02;NAN;10.538;10.538;NAN;fast_gpps;NAN
2685;J1914+1029g;NAN;NAN;NAN;NAN;44.864;-0.258;288.59583333;10.48333333;2.48499;NAN;59.7;NAN;NAN;NAN;0.01;NAN;1.88;1.88;NAN;fast_gpps;NAN
2686;J1914+1054g;NAN;NAN;NAN;NAN;45.202;-0.007;288.52916667;10.9;0.13887;NAN;418.7;NAN;NAN;NAN;0.03;NAN;7.767;7.767;NAN;fast_gpps;NAN
2687;J1914+1122;NAN;NAN;NAN;42826.5;45.623;0.199;288.54216667;11.36769444;0.600997;6.56E-16;100;25;NAN;1.1;0.55;NAN;3.14;3.14;NAN;ar1,ar4,pksmb,palfa;NAN
2688;J1914+1228g;NAN;NAN;NAN;NAN;46.681;0.548;288.72916667;12.46666667;2.27755;NAN;312;NAN;NAN;NAN;0.02;NAN;7.309;7.309;NAN;fast_gpps;NAN
2689;J1915+0227;NAN;NAN;NAN;53036;37.825;-4.117;288.75884167;2.46326944;0.317306;2.99E-16;191.9;7;27;NAN;0.4;NAN;10.203;10.203;NAN;pksmb,gbncc;NAN
2690;J1915+0738;NAN;NAN;NAN;49079.5;42.466;-1.803;288.85333333;7.64205556;1.542704;3.31E-15;39;11;24;1.9;0.34;NAN;1.404;1.404;NAN;ar3,pksmb,palfa;NAN
2691;J1915+0752;NAN;NAN;NAN;53048;42.623;-1.614;288.75808333;7.86922222;2.058314;1.39E-16;105.3;24;60;1.7;0.21;NAN;3.566;3.566;NAN;ar4,pksmb,palfa;NAN
2692;J1915+0832g;NAN;NAN;NAN;NAN;43.219;-1.321;288.775;8.53333333;2.71009;NAN;36.2;NAN;NAN;NAN;0.02;NAN;1.366;1.366;NAN;fast_gpps;NAN
2693;J1915+0838;NAN;NAN;NAN;52025;43.337;-1.295;288.80779167;8.64991667;0.342777;1.57E-15;358;14;NAN;NAN;0.29;NAN;10.84;10.84;NAN;pksmb,palfa;NAN
2694;J1915+1009;6;-17;NAN;57600;44.707;-0.651;288.8749625;10.16204722;0.404552;1.53E-14;241.69;3.6;13;23;2;NAN;7;5.99;NAN;ar1,jb2,ar2,ar3,pksmb,palfa;NAN
2695;J1915-11;NAN;NAN;NAN;56657;25.244;-10.394;288.75;-11.5;2.177;NAN;91.06;NAN;NAN;NAN;NAN;NAN;5.495;5.495;NAN;gb350;RRAT
2696;J1915+1144;NAN;NAN;NAN;56657;46.041;0.189;288.75;11.73333333;0.17365;NAN;338.3;NAN;NAN;NAN;0.08;NAN;7.221;7.221;NAN;palfa;NAN
2697;J1915+1149;NAN;NAN;NAN;56657;46.115;0.228;288.75;11.81666667;0.10004;NAN;702.1;NAN;NAN;NAN;NAN;NAN;14.165;14.165;NAN;palfa;NAN
2698;J1915+1410;NAN;NAN;NAN;53399;48.275;1.2;288.89756667;14.18097222;0.297494;4.89E-17;273.7;15;24;NAN;0.13;NAN;7.128;7.128;NAN;pksmb,palfa;NAN
2699;J1915+1606;-0.72;-0.03;0.24;52984;49.968;2.122;288.86666425;16.10760744;0.05903;8.62E-18;168.77;7.4;10;4;0.9;NAN;4.167;5.247;NAN;ar1,ar4,pksmb;NAN
2700;J1915+1647;NAN;NAN;NAN;48867;50.552;2.468;288.82962409;16.78568769;1.616231;4.05E-16;62.57;35.9;60.6;4.5;NAN;NAN;2.196;2.196;NAN;ar1,ar2,ar3,ar4,palfa,lotaas;NAN
2701;J1916+0741g;NAN;NAN;NAN;NAN;42.602;-1.975;289.07083333;7.68333333;0.01122;NAN;220.1;NAN;NAN;NAN;0.03;NAN;8.442;8.442;NAN;fast_gpps;NAN
2702;J1916+0748;NAN;NAN;NAN;53048;42.772;-2.047;289.21458333;7.8;0.541752;1.07E-14;304;80;230;1.14;2.8;NAN;11.779;11.779;NAN;ar4,pksmb,palfa;NAN
2703;J1916+0748g;NAN;NAN;NAN;NAN;42.788;-2.078;289.25;7.8;0.86791;NAN;153.1;NAN;NAN;NAN;0.01;NAN;6.438;6.438;NAN;fast_gpps;NAN
2704;J1916+0844;NAN;NAN;NAN;52018;43.538;-1.493;289.07950417;8.73527778;0.439995;2.9E-15;338.01;8.3;19;NAN;0.44;NAN;10.988;10.988;NAN;pksmb,palfa;NAN
2705;J1916+0852;NAN;NAN;NAN;52352;43.674;-1.448;289.1025;8.87666667;2.182746;1.31E-14;295;48;NAN;NAN;0.13;NAN;9.391;9.391;NAN;pksmb,palfa;NAN
2706;J1916+0951;-8.786;-2.073;NAN;49910;44.556;-1.019;289.13476905;9.85721612;0.270254;2.52E-15;60.95;9;14.1;20;1.6;NAN;1.904;1.904;NAN;ar1,mol2,jb2,gb3,ar2,ar3,pksmb,palf;NAN
2707;J1916+1023;NAN;NAN;NAN;52529;45.031;-0.79;289.15379167;10.38416667;1.618339;6.81E-16;341.8;72;NAN;NAN;0.36;NAN;7.877;7.877;NAN;pksmb,fast_gpps;NAN
2708;J1916+1030;NAN;NAN;NAN;47469.83;45.099;-0.638;289.04883333;10.51483333;0.62897;3.4E-17;387.2;20;NAN;NAN;0.22;NAN;8.148;8.148;NAN;misc,pksmb,palfa;NAN
2709;J1916+1030g;NAN;NAN;NAN;NAN;45.151;-0.769;289.19166667;10.5;0.34938;NAN;519.7;NAN;NAN;NAN;0.01;NAN;11.353;11.353;NAN;fast_gpps;NAN
2710;J1916+1225;NAN;NAN;NAN;54570;46.811;0.225;289.08352083;12.43165;0.227387;2.35E-14;265.31;1.7;NAN;NAN;0.09;NAN;6.486;6.486;NAN;palfa;NAN
2711;J1916+1312;NAN;NAN;NAN;57600;47.576;0.451;289.24445833;13.21388889;0.281845;3.66E-15;237.01;6.2;11;12;1.2;NAN;4.5;6.351;NAN;ar1,jb2,ar3,pksmb,palfa;NAN
2712;J1916-2939;NAN;NAN;NAN;57346;8.245;-18.07;289.13625417;-29.65772222;1.248617;1.24E-15;38.34;35;61;NAN;NAN;NAN;1.6;1.6;NAN;gbncc;NAN
2713;J1916+3224;NAN;NAN;NAN;57638;64.627;9.43;289.01445;32.41102778;1.13745;3.47E-15;84.11;11.2;46.6;NAN;NAN;NAN;7.945;7.945;NAN;lotaas,gbncc;NAN
2714;J1917+0743g;NAN;NAN;NAN;NAN;42.765;-2.212;289.35833333;7.71666667;0.81347;NAN;199.5;NAN;NAN;NAN;0.02;NAN;8.247;8.247;NAN;fast_gpps;NAN
2715;J1917+0834;NAN;NAN;NAN;52345;43.575;-1.892;289.45355417;8.58184167;2.129665;1.75E-14;29.18;68;81;0.44;0.31;NAN;1.231;1.231;NAN;misc,pksmb;NAN
2716;J1917+1046g;NAN;NAN;NAN;NAN;45.519;-0.894;289.47916667;10.76666667;0.08773;NAN;163.1;NAN;NAN;NAN;0.01;NAN;4.865;4.865;NAN;fast_gpps;NAN
2717;J1917+1121g;NAN;NAN;NAN;NAN;45.981;-0.521;289.3625;11.35;0.51031;NAN;303.5;NAN;NAN;NAN;0.01;NAN;7.078;7.078;NAN;fast_gpps;NAN
2718;J1917+1259g;NAN;NAN;NAN;NAN;47.43;0.235;289.37083333;12.98333333;0.00563;NAN;117;NAN;NAN;NAN;0.04;NAN;3.637;3.637;NAN;fast_gpps;NAN
2719;J1917+1353;-1.28;3.81;0.17;56000;48.26;0.624;289.41577667;13.89918806;0.194631;7.2E-15;94.54;3.8;9.1;43;6.8;NAN;5.882;2.94;NAN;misc,ar1,mol2,jb2,gb3,ar2,ar3,pksmb;NAN
2720;J1917+1411g;NAN;NAN;NAN;NAN;48.485;0.806;289.35833333;14.18333333;0.44646;NAN;123.4;NAN;NAN;NAN;0.01;NAN;3.968;3.968;NAN;fast_gpps;NAN
2721;J1917+1737;NAN;NAN;NAN;55070;51.528;2.418;289.3499;17.62544444;0.334725;3.24E-16;208;5.9;NAN;NAN;0.05;NAN;5.53;5.53;NAN;palfa;NAN
2722;J1917+2224;NAN;NAN;NAN;49724;55.785;4.553;289.43428307;22.38021094;0.425897;2.86E-15;134.75;21;38;3;0.36;NAN;4.965;4.965;NAN;ar2,lotaas,gbncc;NAN
2723;J1918-0642;-7.149;-5.972;0.9;55330;30.027;-9.123;289.70013634;-6.70969457;0.007646;2.57E-20;26.58;0.66;2.1;5.9;0.58;NAN;1.111;1.027;NAN;pkssw,htru_pks,gbncc;NAN
2724;J1918-1052;NAN;NAN;NAN;55026;26.226;-10.963;289.70102917;-10.87955;0.798693;8.65E-16;62.73;12;20;NAN;NAN;NAN;2.966;2.966;NAN;gb350,gbncc;NAN
2725;J1918+1310;NAN;NAN;NAN;56657;47.65;0.209;289.5;13.16666667;0.85674;NAN;247.4;NAN;NAN;NAN;NAN;NAN;6.297;6.297;NAN;palfa;NAN
2726;J1918+1340g;NAN;NAN;NAN;NAN;48.195;0.25;289.725;13.66666667;0.23299;NAN;575.9;NAN;NAN;NAN;0.04;NAN;11.865;11.865;NAN;fast_gpps;NAN
2727;J1918+1444;NAN;NAN;NAN;49690;49.096;0.866;289.59849272;14.75166717;1.181023;2.12E-13;27.2;28;29.7;1.6;1;NAN;1.304;1.304;NAN;ar1,jb2,ar3,pksmb,palfa;HE[zkgl09]
2728;J1918+1536g;NAN;NAN;NAN;NAN;49.845;1.265;289.59583333;15.6;0.10995;NAN;123.7;NAN;NAN;NAN;0.01;NAN;3.83;3.83;NAN;fast_gpps;NAN
2729;J1918+1540g;NAN;NAN;NAN;NAN;49.897;1.31;289.57916667;15.66666667;0.00428;NAN;271.2;NAN;NAN;NAN;0.02;NAN;6.477;6.477;NAN;fast_gpps;NAN
2730;J1918+1541;NAN;NAN;NAN;49079.5;49.894;1.36;289.53208333;15.68755556;0.370883;2.54E-15;11.4;6;29;0.8;NAN;NAN;0.722;0.722;NAN;ar3,fast_gpps;NAN
2731;J1918+1547g;NAN;NAN;NAN;NAN;50.028;1.311;289.64166667;15.78333333;0.00376;NAN;64.6;NAN;NAN;NAN;0.02;NAN;2.185;2.185;NAN;fast_gpps;NAN
2732;J1919+0021;10.11;-4.7;0.17;56000;36.506;-6.151;289.96113125;0.36103389;1.27226;7.67E-15;90.31;10.1;40.5;16;0.8;NAN;5.882;4.1;NAN;jb1,mol2,gb2,gb3,pks70,ar4,pkssw,lo;NAN
2733;J1919+0134;NAN;NAN;NAN;51650;37.582;-5.563;289.93175;1.58236111;1.603984;5.89E-16;191.9;40.5;81;NAN;2.1;NAN;14.371;14.371;NAN;pkssw,pksmb;NAN
2734;J1919+1314;NAN;NAN;NAN;54790;47.895;-0.088;289.88744167;13.24369444;0.5714;3.79E-15;613.4;11.5;NAN;NAN;0.22;NAN;13.026;13.026;NAN;palfa;NAN
2735;J1919+1527g;NAN;NAN;NAN;NAN;49.876;0.886;289.95833333;15.45;1.37146;NAN;697.5;NAN;NAN;NAN;0.01;NAN;16.926;16.926;NAN;fast_gpps;NAN
2736;J1919+1645;NAN;NAN;NAN;53560;50.954;1.642;289.7885125;16.75631111;0.56279;2.16E-16;208;14.5;NAN;NAN;0.16;NAN;5.414;5.414;NAN;pksngp;NAN
2737;J1919+1745;NAN;NAN;NAN;55320;51.897;1.987;289.93059167;17.75105278;2.081343;1.71E-15;142.3;62.4;NAN;NAN;0.19;NAN;4.094;4.094;NAN;palfa;RRAT
2738;J1919+23;NAN;NAN;NAN;NAN;57.3;4.901;289.85833333;23.87944444;0.00463;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;GRS:4FGL_J1919.1+2354[fermi21];FermiAssoc;NRAD[fermi21]
2739;J1919+2621;NAN;NAN;NAN;58333;59.535;5.993;289.9208875;26.35818333;0.651512;5.46E-16;96.5;7.11;18.6;NAN;0.57;NAN;6.099;6.099;NAN;fast_uwb;NAN
2740;J1920-0950;NAN;NAN;NAN;57037;27.417;-10.977;290.23304167;-9.83361111;1.037824;3.93E-16;93;39.2;60;NAN;0.2;NAN;6.186;6.186;NAN;htru_pks;NAN
2741;J1920+1040;NAN;NAN;NAN;52596;45.784;-1.59;290.23075;10.67527778;2.215802;6.48E-15;304;45;NAN;NAN;0.57;NAN;10.151;10.151;NAN;pksmb,palfa;NAN
2742;J1920+1110;NAN;NAN;NAN;51719;46.152;-1.199;290.05545833;11.18305556;0.509886;1.56E-16;188.4;10.2;NAN;NAN;0.39;NAN;6.319;6.319;NAN;pksmb,ar4,palfa,fast_gpps;NAN
2743;J1920+1515g;NAN;NAN;NAN;NAN;49.76;0.679;290.09166667;15.25;1.60276;NAN;655.5;NAN;NAN;NAN;0.02;NAN;15.739;15.739;NAN;fast_gpps;NAN
2744;J1920+2650;NAN;NAN;NAN;49912;60.068;6.027;290.15989412;26.84400048;0.785522;3.44E-17;27.71;13.9;28.1;6;NAN;NAN;1.722;1.722;NAN;gb2,ar4,gb4,lotaas;NAN
2745;J1921+0137;NAN;NAN;NAN;57022;37.825;-5.938;290.37628187;1.62376083;0.002496;1.94E-20;104.92;NAN;NAN;NAN;NAN;NAN;5.085;5.085;GRS:4FGL_J1921.4+0136[fermi21];FermiAssoc;HE
2746;J1921-05;NAN;NAN;NAN;56017;31.483;-9.033;290.26666667;-5.38333333;2.22759;NAN;98;28;96;NAN;NAN;NAN;5.748;5.748;NAN;htru_pks,gbncc;NAN
2747;J1921-0510;NAN;NAN;NAN;57325;31.724;-9.032;290.37270833;-5.16966667;0.794254;6.02E-16;96.6;32.6;NAN;NAN;0.4;NAN;5.604;5.604;NAN;pks_superb,gbncc;NAN
2748;J1921+0812;NAN;NAN;NAN;53277;43.71;-2.934;290.44876667;8.21440556;0.210648;5.36E-15;84;2;5;NAN;0.66;NAN;2.896;2.896;NAN;pksmb;NAN
2749;J1921+1259g;NAN;NAN;NAN;NAN;47.865;-0.586;290.325;12.98333333;0.57316;NAN;366.3;NAN;NAN;NAN;0.01;NAN;8.227;8.227;NAN;fast_gpps;NAN
2750;J1921+1340g;NAN;NAN;NAN;NAN;48.491;-0.308;290.375;13.66666667;4.60294;NAN;754.9;NAN;NAN;NAN;0.03;NAN;25;25;NAN;fast_gpps;NAN
2751;J1921+1419;NAN;NAN;NAN;48741;49.058;0.021;290.35066643;14.32140937;0.618183;5.6E-15;91.64;22;40;3.2;0.68;NAN;2.81;2.81;NAN;ar1,jb2,pksmb,palfa,lotaas;NAN
2752;J1921+1505g;NAN;NAN;NAN;NAN;49.732;0.377;290.35416667;15.08333333;0.6119;NAN;519.9;NAN;NAN;NAN;0.01;NAN;10.631;10.631;NAN;fast_gpps;NAN
2753;J1921+1544;NAN;NAN;NAN;53632;50.35;0.609;290.44363458;15.73818333;0.143576;9.8E-16;385;6.3;NAN;NAN;0.21;NAN;9.038;9.038;NAN;pksngp,palfa;NAN
2754;J1921+16;NAN;NAN;NAN;56657;50.494;0.896;290.25;16;0.93643;NAN;204.7;NAN;NAN;NAN;NAN;NAN;5.353;5.353;NAN;palfa;NAN
2755;J1921+1929;-3.2;-11;NAN;58137;53.619;2.453;290.34729458;19.4895275;0.002646;3.82E-20;64.76;0.17;NAN;NAN;0.12;NAN;2.434;2.434;GRS:4FGL_J1921.1+1930[fermi21];palfa;HE
2756;J1921+1948;NAN;NAN;NAN;48739;53.869;2.672;290.26583304;19.8124072;0.821035;8.96E-16;153.85;40.3;76.9;34;1.7;NAN;4.322;4.322;NAN;jb1,ar1,mol2,gb3,ar2,ar3,gb4,lotaas;NAN
2757;J1921+2003;NAN;NAN;NAN;51600;54.172;2.621;290.4649875;20.05577778;0.760681;5E-17;101;11;27;2.3;NAN;NAN;3.292;3.292;NAN;ar1;NAN
2758;J1921+2153;17;32;NAN;48999;55.777;3.501;290.43672917;21.88395833;1.337302;1.35E-15;12.44;33.8;40.8;57;18.8;NAN;0.3;0.807;NAN;misc,jb1,ar1,gb1,gb3,ar2,ar3,gb4,lo;NAN
2759;J1922+1131;NAN;NAN;NAN;56700;46.762;-1.601;290.70945833;11.53291667;0.562074;2.57E-17;335;23;NAN;NAN;0.13;NAN;10.486;10.486;NAN;palfa;NAN
2760;J1922+1733;NAN;NAN;NAN;53595;52.08;1.23;290.72174167;17.55651944;0.236171;1.34E-14;238;9.4;NAN;NAN;1.16;NAN;5.36;5.36;NAN;pksngp,palfa;NAN
2761;J1922+2018;NAN;NAN;NAN;49670;54.417;2.678;290.53336196;20.29925534;1.172763;6.49E-16;203.31;69.1;80;3.8;NAN;NAN;5.28;5.28;NAN;ar1,ar3,gbncc;NAN
2762;J1922+2110;NAN;NAN;NAN;49879;55.278;2.935;290.72304864;21.17832376;1.077924;8.18E-15;217.09;14.8;32.7;30;1.4;NAN;4;7.041;NAN;jb1,ar1,gb1,gb3,ar2,ar3,lotaas;NAN
2763;J1922+58;NAN;NAN;NAN;56292;89.671;19.073;290.5;58.46666667;0.529623;NAN;53.74;14;20;3.1;NAN;NAN;5.524;5.524;NAN;gbncc,lotaas;NAN
2764;J1923-0408;NAN;NAN;NAN;57745;32.848;-8.944;290.79566667;-4.13872222;1.149269;6.8E-17;35;14.6;NAN;NAN;0.11;NAN;1.236;1.236;NAN;pks_superb;NAN
2765;J1923+1143g;NAN;NAN;NAN;NAN;47.016;-1.686;290.90833333;11.71666667;0.37121;NAN;260.6;NAN;NAN;NAN;0.01;NAN;7.783;7.783;NAN;fast_gpps;NAN
2766;J1923+1521g;NAN;NAN;NAN;NAN;50.17;0.123;290.8;15.35;1.04876;NAN;346;NAN;NAN;NAN;0.01;NAN;6.995;6.995;NAN;fast_gpps;NAN
2767;J1923+1706;NAN;NAN;NAN;51600;51.707;0.965;290.78270833;17.10261111;0.547209;4.3E-17;142.5;19;28;1.5;0.41;NAN;3.975;3.975;NAN;ar1,ar3,ar4,palfa;NAN
2768;J1923+2022g;NAN;NAN;NAN;NAN;54.676;2.338;290.98333333;20.36666667;0.03799;NAN;175.3;NAN;NAN;NAN;0.01;NAN;4.626;4.626;NAN;fast_gpps;NAN
2769;J1923+2515;-6.923;-14.276;0.8;56859;58.946;4.749;290.84371759;25.26127254;0.003788;9.56E-21;18.86;0.38;0.67;2.7;0.33;NAN;1.201;1.201;NAN;gb350,gbncc;NAN
2770;J1923+4243;NAN;NAN;NAN;56525;74.715;12.643;290.81350349;42.72184543;0.595193;2.53E-15;52.99;7;27;NAN;NAN;NAN;4.684;4.684;NAN;gbncc,lotaas;NAN
2771;J1924+1343g;NAN;NAN;NAN;NAN;48.86;-0.891;291.08333333;13.71666667;0.00572;NAN;98.5;NAN;NAN;NAN;0.03;NAN;3.045;3.045;NAN;fast_gpps;NAN
2772;J1924+1509g;NAN;NAN;NAN;NAN;50.149;-0.262;291.14166667;15.15;0.23995;NAN;296.6;NAN;NAN;NAN;0.01;NAN;6.358;6.358;NAN;fast_gpps;NAN
2773;J1924+1510g;NAN;NAN;NAN;NAN;50.103;-0.141;291.00833333;15.16666667;0.49863;NAN;115.6;NAN;NAN;NAN;0.01;NAN;3.469;3.469;NAN;fast_gpps;NAN
2774;J1924+1628;NAN;NAN;NAN;58808.4;51.345;0.331;291.1875;16.48333333;0.375082;NAN;541.7;NAN;NAN;NAN;0.09;NAN;10.468;10.468;NAN;palfa,fast_gpps;NAN
2775;J1924+1631;NAN;NAN;NAN;54690;51.405;0.318;291.22866667;16.53022222;2.935186;3.64E-13;518.5;27.2;NAN;NAN;0.09;NAN;10.183;10.183;NAN;palfa;NAN
2776;J1924+1639;NAN;NAN;NAN;53720;51.422;0.562;291.01296458;16.66132111;0.158043;2.56E-15;208;7.2;NAN;NAN;0.21;NAN;5.059;5.059;NAN;pksngp,palfa;NAN
2777;J1924+17;NAN;NAN;NAN;59069.69;51.981;0.732;291.13333333;17.23333333;0.758437;NAN;540.9;NAN;NAN;NAN;NAN;NAN;11.109;11.109;NAN;palfa,fast_gpps;NAN
2778;J1924+1923g;NAN;NAN;NAN;NAN;53.853;1.791;291.08333333;19.38333333;0.68924;NAN;386.7;NAN;NAN;NAN;0.06;NAN;9.824;9.824;NAN;fast_gpps;NAN
2779;J1924+1932g;NAN;NAN;NAN;NAN;54.039;1.761;291.20416667;19.53333333;0.38886;NAN;280.3;NAN;NAN;NAN;0.02;NAN;6.612;6.612;NAN;fast_gpps;NAN
2780;J1924+2027g;NAN;NAN;NAN;NAN;54.819;2.246;291.14166667;20.45;0.00195;NAN;211.7;NAN;NAN;NAN;0.08;NAN;5.294;5.294;NAN;fast_gpps;NAN
